RANK,NAME,TOURNAMENTS
YOUSSEF HISHAM,,
2,25,2.5
405,,
Flag (england),,
GARY NISBET,,
6,23.5,2.35
406,,
Flag (de),,
VALENTIN RAPP,,
3,22.5,2.25
407,,
Flag (england),,
TOM WALSH,,
6,22,2.2
407,,
Flag (fi),,
TATU KNUUTILA,,
2,22,2.2
409,,
Flag (england),,
MATTHEW SIDAWAY,,
3,21,2.1
410,,
Flag (eg),,
AHMED MOHAMED,,
6,20,2
410,,
Flag (pk),,
NASIR IQBAL,,
1,20,2
412,,
Flag (pk),,
ASIF KHAN KHALIL,,
5,19,1.9
412,,
Flag (us),,
MOUSTAFA HAMADA,,
4,19,1.9
414,,
Flag (se),,
ERIK JAKOBSSON,,
6,18.5,1.85
414,,
Flag (be),,
SANJAY JEEVA,,
2,18.5,1.85
416,,
Flag (es),,
VICTOR REGUERA,,
3,17,1.7
417,,
Flag (england),,
AARON ALLPRESS,,
6,16.5,1.65
418,,
Flag (pk),,
CHAUDHARY NASIR ANWAR,,
6,16,1.6
418,,
Flag (england),,
ADAM CORCORAN,,
4,16,1.6
420,,
Flag (england),,
JOE BROOKE,,
3,15,1.5
420,,
Flag (au),,
BEN COURTICE,,
2,15,1.5
420,,
Flag (pk),,
AAMIR ATLAS KHAN,,
1,15,1.5
423,,
Flag (england),,
CHARLES RICHARDSON,,
2,14,1.4
423,,
Flag (au),,
DARCY WALSH,,
2,14,1.4
423,,
Flag (ch),,
ANDREAS DIETZSCH,,
1,14,1.4
423,,
Flag (ca),,
SHAHIER RAZIK,,
1,14,1.4
427,,
Flag (england),,
CURTIS MALIK,,
4,13.5,1.35
428,,
Flag (jo),,
AHMAD ALZABIDI,,
4,13,1.3
428,,
Flag (ca),,
OWEN BUTLER,,
2,13,1.3
428,,
Flag (us),,
SERGIO LÓPEZ,,
2,13,1.3
428,,
Flag (se),,
ARYAN AHMED,,
1,13,1.3
428,,
Flag (in),,
VELAVAN SENTHILKUMAR,,
1,13,1.3
428,,
Flag (ua),,
ARTUR SIKORA,,
1,13,1.3
428,,
Flag (ca),,
PAUL OPPENHEIM,,
1,13,1.3
428,,
Flag (ca),,
AKASHAM RAJAGOPAUL,,
1,13,1.3
428,,
Flag (it),,
LUDOVICO CIPOLLETTA,,
1,13,1.3
428,,
FARZAN HABIB POUR,,
1,13,1.3
438,,
Flag (om),,
JAMAL AL-BARWANI,,
3,12,1.2
438,,
Flag (in),,
DEERAV MOOLANI,,
3,12,1.2
440,,
Flag (us),,
TIBER WORTH,,
2,11.5,1.15
441,,
Flag (wales),,
LIAM EASON,,
1,11,1.1
441,,
Flag (au),,
JOSEPH WHITE,,
1,11,1.1
441,,
Flag (us),,
TIMOTHY BROWNELL,,
1,11,1.1
444,,
Flag (ch),,
CHRISTOPH ZUST,,
1,9,0.9
444,,
Flag (au),,
TIM COWELL,,
1,9,0.9
444,,
Flag (england),,
MICHAEL ANDREWS,,
1,9,0.9
444,,
Flag (qa),,
HAMAD AL-AMRI,,
1,9,0.9
448,,
Flag (scotland),,
CRAIG VALENTE-WALLACE,,
4,8.5,0.85
449,,
Flag (pk),,
SALMAN SALEEM,,
2,8,0.8
450,,
Flag (in),,
VARUN JOHNNY,,
5,7.5,0.75
451,,
Flag (england),,
JOSHUA ATTWELL,,
2,6,0.6
451,,
Flag (de),,
FELIX PAAL,,
2,6,0.6
451,,
Flag (nl),,
DONNY VAN HAL,,
1,6,0.6
454,,
Flag (england),,
MIKE LOWREY,,
2,5.5,0.55
455,,
Flag (england),,
ALI JAFARI,,
2,5,0.5
455,,
Flag (kr),,
HOJUNG KIM,,
2,5,0.5
455,,
Flag (nz),,
ALEX GRAYSON,,
1,5,0.5
455,,
Flag (us),,
CASS SUNSTEIN,,
1,5,0.5
455,,
Flag (it),,
LUCA LASCIARREA,,
1,5,0.5
455,,
Flag (us),,
JACOB BASSIL,,
1,5,0.5
455,,
Flag (us),,
JASON HUA,,
1,5,0.5
455,,
Flag (england),,
CHARLIE COWIE,,
1,5,0.5
463,,
Flag (ar),,
LUCAS CANNISTRACI,,
2,4.5,0.45
464,,
Flag (hk),,
MARCO CHI HIN TSANG,,
2,3,0.3
464,,
Flag (pk),,
MUBARAK MOHSIN,,
1,3,0.3
464,,
Flag (england),,
CHRIS LONGMAN,,
1,3,0.3
464,,
Flag (us),,
SOLOMON LUKE,,
1,3,0.3
464,,
FILIP MADARIC,,
1,3,0.3
464,,
Flag (pk),,
USMAR HASSAN,,
1,3,0.3
464,,
Flag (se),,
JESPER SKARMAN,,
1,3,0.3
464,,
Flag (england),,
JACK MARTELL,,
1,3,0.3
464,,
Flag (us),,
ADEEB KHAN,,
1,3,0.3
473,,
Flag (in),,
SANDEEP JANGRA,,
1,2.5,0.25
473,,
Flag (cz),,
ONDREJ VORLÍCEK,,
1,2.5,0.25
475,,
Flag (pk),,
KASHIF ARIF,,
4,0,0
475,,
Flag (pk),,
YASIR KHAN,,
4,0,0
475,,
Flag (in),,
RAMIT TANDON,,
4,0,0
475,,
Flag (pk),,
TARIQ KHAN,,
2,0,0
475,,
Flag (kr),,
RYU HANDONG,,
2,0,0
475,,
Flag (pk),,
MUHAMMAD BILAL KHAN,,
2,0,0
475,,
Flag (pk),,
ABDULLAH BASHIR,,
1,0,0
475,,
Flag (pk),,
ABDUL BASIT SAMAD,,
1,0,0
475,,
Flag (au),,
CAILLIN AUSTIN,,
1,0,0
475,,
Flag (am),,
SERGEY GRIGORYAN,,
0,0,0
475,,
Flag (pk),,
AQIB HANIF,,
0,0,0
475,,
Flag (ar),,
MATIAS VALENZUELA,,
0,0,0
475,,
Flag (eg),,
KARIM SAMY,,
0,0,0
475,,
Flag (br),,
VICTOR GORNATI,,
0,0,0
475,,
Flag (eg),,
ANDREW SHOUKRY,,
0,0,0
475,,
ERFAN JAMSHIDI,,
0,0,0
475,,
Flag (pk),,
MUJAHID HUSSAIN,,
0,0,0
475,,
Flag (pk),,
SAQIB YOUSAF,,
0,0,0
475,,
Flag (ua),,
VALERII FEDORUK,,
0,0,0
475,,
Flag (pk),,
WAQAS MEHBOOB,,
0,0,0
475,,
Flag (ru),,
KONSTANTIN KOSTRYKIN,,
0,0,0
475,,
Flag (england),,
SIMON WHITE,,
0,0,0
475,,
Flag (ar),,
GONZALO GALLARDO,,
0,0,0
475,,
Flag (ar),,
FRANCISCO OBREGÓN,,
0,0,0
475,,
Flag (ar),,
RODRIGO OBREGÓN,,
0,0,0
475,,
Flag (kw),,
YOUSIF NIZAR SALEH,,
0,0,0
475,,
Flag (kr),,
JAEJIN YOO,,
0,0,0
475,,
Flag (pk),,
MUHAMMAD JEHANGIR KHAN,,
0,0,0
475,,
Flag (ch),,
AMADEO COSTA,,
0,0,0
475,,
Flag (kr),,
SE HYUN LEE,,
0,0,0
475,,
CHARLIE GRIGGS,,
0,0,0
475,,
Flag (ng),,
WASIU BELLO,,
0,0,0
475,,
Flag (jp),,
RYUNOSUKE TSUKUE,,
0,0,0
475,,
Flag (za),,
DANIEL SMITH,,
0,0,0
475,,
Flag (co),,
EDGAR RAMIREZ BAUTISTA,,
0,0,0
475,,
Flag (au),,
RYAN MARSHALL,,
0,0,0
475,,
Flag (ca),,
SAM BURLEY,,
0,0,0
475,,
Flag (pk),,
HARITH KHAWAJA,,
0,0,0
475,,
Flag (tn),,
AMINE REGAYA,,
0,0,0
475,,
Flag (eg),,
MARWAN TAREK,,
0,0,0
475,,
Flag (pk),,
SAIF ULLAH,,
0,0,0
475,,
Flag (us),,
COLE BECKER,,
0,0,0
475,,
Flag (in),,
ABHAY SINGH,,
0,0,0
475,,
Flag (ru),,
VLADISLAV TITOV,,
0,0,0
475,,
Flag (eg),,
AHMED MEDAN,,
0,0,0
475,,
Flag (ar),,
RODRIGO BONZO,,
0,0,0
475,,
Flag (pk),,
MEHRAN JAVED,,
0,0,0
475,,
Flag (wales),,
ELLIOTT MORRIS-DEVRED,,
0,0,0
475,,
Flag (pk),,
IQTIDAR KHAN,,
0,0,0
475,,
Flag (mo),,
MANUEL GASSMANN,,
0,0,0
475,,
KOJIRO TAN,,
0,0,0
475,,
Flag (se),,
FILIP KRÜEGER,,
0,0,0
475,,
Flag (england),,
ELLIOT RIDGE,,
0,0,0
475,,
Flag (bn),,
YOUSIF JAMAL,,
0,0,0
475,,
Flag (pk),,
MUHAMMAD ABDUL QADIR,,
0,0,0
475,,
Flag (pk),,
MANSOOR ZAMAN,,
0,0,0
475,,
Flag (pk),,
ABBAS ZEB,,
0,0,0
475,,
Flag (my),,
HAFIZ ZHAFRI,,
0,0,0
475,,
Flag (co),,
MARTIN RIOS,,
0,0,0
475,,
Flag (kr),,
MINCHAE JEONG,,
0,0,0
475,,
Flag (us),,
JAHANGIR NASEEM,,
0,0,0
475,,
Flag (cz),,
JAKUB SOLNICKY,,
0,0,0
475,,
Flag (nl),,
FRANK GOOSSENS,,
0,0,0
475,,
Flag (kr),,
JOONG CHAN-HWANG,,
0,0,0
475,,
MARTIN KEGEL,,
0,0,0
475,,
Flag (mx),,
ALLAN NUÑEZ,,
0,0,0
475,,
BLESSING MUHWATI,,
0,0,0
475,,
Flag (ar),,
PAULO EZEQUIEL GARRIDO,,
0,0,0
475,,
Flag (ar),,
GUSTAVO ARIEL LOMAGLIO,,
0,0,0
475,,
Flag (fr),,
EDWIN CLAIN,,
0,0,0
475,,
Flag (my),,
MUHAMMAD HARRIS BIN RAMLEE,,
0,0,0
475,,
Flag (ar),,
RODRIGO PEZZOTA,,
0,0,0
475,,
Flag (ar),,
NAHUEL HERNAN RAMOS,,
0,0,0
475,,
Flag (nz),,
SCOTT GALLOWAY,,
0,0,0
475,,
Flag (eg),,
MOUSTAFA MONTASER,,
0,0,0
475,,
Flag (nz),,
SAM SAYES,,
0,0,0
475,,
Flag (ph),,
REYMARK BEGORNIA,,
0,0,0
475,,
Flag (eg),,
ABDELRAHMAN ATTIA IBRAHIM ELSAYED,,
0,0,0
475,,
Flag (za),,
JOHN FELIKS KUHN,,
0,0,0
475,,
Flag (ar),,
GUIDO FONTANAZZI,,
0,0,0
475,,
SEBASTIAN JIMENEZ BENAVIDES,,
0,0,0
475,,
Flag (my),,
DARRYL GAN,,
0,0,0
475,,
Flag (pk),,
ADNAN GUL,,
0,0,0
