RANK,NAME,TOURNAMENTS
FARAZ KHAN,,
14,414,32.818
134,,
Flag (pt),,
RUI SOARES,,
12,352,32.6
135,,
Flag (ch),,
REIKO PETER,,
5,325,32.5
136,,
Flag (fi),,
MATIAS TUOMI,,
15,428,32.273
136,,
Flag (nz),,
BEN GRINDROD,,
14,408,32.273
138,,
Flag (co),,
JUAN CAMILO VARGAS,,
7,322,32.2
139,,
Flag (mx),,
EDGAR ZAYAS,,
10,310,31
140,,
Flag (pk),,
DANISH ATLAS KHAN,,
5,300,30
141,,
Flag (cz),,
MARTIN SVEC,,
14,379,29.636
142,,
Flag (pk),,
WAQAR MEHBOOB,,
3,295,29.5
143,,
Flag (ca),,
DAVID BAILLARGEON,,
10,290,29
144,,
Flag (ch),,
DIMITRI STEINMANN,,
13,323,28.5
144,,
Flag (england),,
REUBEN PHILLIPS,,
12,311,28.5
146,,
Flag (england),,
MARK FULLER,,
11,294,28.1
147,,
Flag (england),,
CHARLIE JOHNSON,,
8,275,27.5
148,,
Flag (us),,
DYLAN CUNNINGHAM,,
11,275,26.7
149,,
Flag (bm),,
MICAH FRANKLIN,,
10,266,26.6
150,,
Flag (jo),,
AHMAD AL-SARAJ,,
12,275,26.2
150,,
Flag (fr),,
BENJAMIN AUBERT,,
10,262,26.2
152,,
Flag (england),,
KYLE FINCH,,
15,339,26.091
153,,
Flag (in),,
SANDEEP RAMACHANDRAN,,
13,311,25.8
154,,
Flag (ie),,
BRIAN BYRNE,,
11,256,25.6
155,,
Flag (my),,
VALENTINO BONG,,
9,253,25.3
156,,
Flag (england),,
ALEX NOAKES,,
10,248,24.8
157,,
Flag (za),,
CLINTON LEEUW,,
6,240,24
158,,
Flag (england),,
MICHAEL HARRIS,,
8,238,23.8
159,,
Flag (mx),,
JESUS CAMACHO,,
8,235,23.5
160,,
Flag (pk),,
FARAZ MUHAMMAD,,
4,231,23.1
161,,
Flag (england),,
CONNOR SHEEN,,
13,267,22.9
161,,
Flag (cz),,
ONDREJ UHERKA,,
12,255,22.9
163,,
Flag (fr),,
VICTOR CROUIN,,
11,227,22.7
164,,
Flag (za),,
TRISTAN EYSELE,,
13,265,22.6
165,,
Flag (pk),,
AMAAD FAREED,,
6,221,22.1
166,,
Flag (england),,
CHARLIE LEE,,
10,219,21.9
166,,
Flag (england),,
ROBERT DOWNER,,
8,219,21.9
168,,
Flag (il),,
ROEE AVRAHAM,,
12,244,21.8
168,,
Flag (au),,
THOMAS CALVERT,,
12,244,21.8
170,,
Flag (england),,
BEN COATES,,
12,234,21.5
170,,
Flag (eg),,
YOUSSEF IBRAHIM,,
4,215,21.5
172,,
Flag (pk),,
ZAHIR SHAH,,
5,213,21.3
173,,
Flag (us),,
ANDREW DOUGLAS,,
5,211,21.1
174,,
CAMERON STAFFORD,,
8,208,20.8
175,,
Flag (england),,
MARK BROEKMAN,,
10,207,20.7
176,,
Flag (england),,
GEORGE PARKER,,
5,205,20.5
177,,
Flag (ie),,
SEAN CONROY,,
11,215,20.2
178,,
Flag (in),,
RAVI DIXIT,,
11,200,20
178,,
Flag (cz),,
