"Var","variable","value","id","League"
"Goals","Home","1",348494,"La Liga"
"Goals","Away","2",348494,"La Liga"
"Posession","Home","49%",348482,"La Liga"
"Posession","Away","51%",348482,"La Liga"
"Shots","Home","11",348482,"La Liga"
"Shots","Away","11",348482,"La Liga"
"Goals","Home","0",348482,"La Liga"
"Goals","Away","1",348482,"La Liga"
"Posession","Home","52%",348477,"La Liga"
"Posession","Away","48%",348477,"La Liga"
"Shots","Home","7",348477,"La Liga"
"Shots","Away","12",348477,"La Liga"
"Goals","Home","2",348477,"La Liga"
"Goals","Away","0",348477,"La Liga"
"Posession","Home","44%",348464,"La Liga"
"Posession","Away","56%",348464,"La Liga"
"Shots","Home","10",348464,"La Liga"
"Shots","Away","11",348464,"La Liga"
"Goals","Home","3",348464,"La Liga"
"Goals","Away","1",348464,"La Liga"
"Posession","Home","41%",348443,"La Liga"
"Posession","Away","59%",348443,"La Liga"
"Shots","Home","12",348443,"La Liga"
"Shots","Away","17",348443,"La Liga"
"Goals","Home","0",348443,"La Liga"
"Goals","Away","1",348443,"La Liga"
"Posession","Home","51%",348441,"La Liga"
"Posession","Away","49%",348441,"La Liga"
"Shots","Home","6",348441,"La Liga"
"Shots","Away","14",348441,"La Liga"
"Goals","Home","1",348441,"La Liga"
"Goals","Away","2",348441,"La Liga"
"Posession","Home","40%",348431,"La Liga"
"Posession","Away","60%",348431,"La Liga"
"Shots","Home","11",348431,"La Liga"
"Shots","Away","10",348431,"La Liga"
"Goals","Home","2",348431,"La Liga"
"Goals","Away","1",348431,"La Liga"
"Posession","Home","51%",348423,"La Liga"
"Posession","Away","49%",348423,"La Liga"
"Shots","Home","20",348423,"La Liga"
"Shots","Away","13",348423,"La Liga"
"Goals","Home","4",348423,"La Liga"
"Goals","Away","0",348423,"La Liga"
"Posession","Home","59%",348408,"La Liga"
"Posession","Away","41%",348408,"La Liga"
"Shots","Home","23",348408,"La Liga"
"Shots","Away","12",348408,"La Liga"
"Goals","Home","5",348408,"La Liga"
"Goals","Away","3",348408,"La Liga"
"Posession","Home","65%",348405,"La Liga"
"Posession","Away","35%",348405,"La Liga"
"Shots","Home","8",348405,"La Liga"
"Shots","Away","13",348405,"La Liga"
"Goals","Home","3",348405,"La Liga"
"Goals","Away","1",348405,"La Liga"
"Posession","Home","56%",348389,"La Liga"
"Posession","Away","44%",348389,"La Liga"
"Shots","Home","14",348389,"La Liga"
"Shots","Away","8",348389,"La Liga"
"Goals","Home","0",348389,"La Liga"
"Goals","Away","1",348389,"La Liga"
"Posession","Home","70%",348387,"La Liga"
"Posession","Away","30%",348387,"La Liga"
"Shots","Home","19",348387,"La Liga"
"Shots","Away","2",348387,"La Liga"
"Goals","Home","1",348387,"La Liga"
"Goals","Away","1",348387,"La Liga"
"Posession","Home","63%",348376,"La Liga"
"Posession","Away","37%",348376,"La Liga"
"Shots","Home","14",348376,"La Liga"
"Shots","Away","13",348376,"La Liga"
"Goals","Home","0",348376,"La Liga"
"Goals","Away","2",348376,"La Liga"
"Posession","Home","65%",348364,"La Liga"
"Posession","Away","35%",348364,"La Liga"
"Shots","Home","12",348364,"La Liga"
"Shots","Away","10",348364,"La Liga"
"Goals","Home","0",348364,"La Liga"
"Goals","Away","1",348364,"La Liga"
"Posession","Home","71%",348359,"La Liga"
"Posession","Away","29%",348359,"La Liga"
"Shots","Home","12",348359,"La Liga"
"Shots","Away","13",348359,"La Liga"
"Goals","Home","0",348359,"La Liga"
"Goals","Away","2",348359,"La Liga"
"Posession","Home","53%",348349,"La Liga"
"Posession","Away","47%",348349,"La Liga"
"Shots","Home","10",348349,"La Liga"
"Shots","Away","9",348349,"La Liga"
"Goals","Home","1",348349,"La Liga"
"Goals","Away","2",348349,"La Liga"
"Posession","Home","52%",350156,"La Liga"
"Posession","Away","48%",350156,"La Liga"
"Shots","Home","14",350156,"La Liga"
"Shots","Away","12",350156,"La Liga"
"Goals","Home","2",350156,"La Liga"
"Goals","Away","0",350156,"La Liga"
"Posession","Home","57%",348317,"La Liga"
"Posession","Away","43%",348317,"La Liga"
"Shots","Home","13",348317,"La Liga"
"Shots","Away","5",348317,"La Liga"
"Goals","Home","0",348317,"La Liga"
"Goals","Away","0",348317,"La Liga"
"Posession","Home","60%",348315,"La Liga"
"Posession","Away","40%",348315,"La Liga"
"Shots","Home","7",348315,"La Liga"
"Shots","Away","15",348315,"La Liga"
"Goals","Home","1",348315,"La Liga"
"Goals","Away","1",348315,"La Liga"
"Posession","Home","32%",348304,"La Liga"
"Posession","Away","68%",348304,"La Liga"
"Shots","Home","10",348304,"La Liga"
"Shots","Away","14",348304,"La Liga"
"Goals","Home","1",348304,"La Liga"
"Goals","Away","2",348304,"La Liga"
"Posession","Home","40%",348297,"La Liga"
"Posession","Away","60%",348297,"La Liga"
"Shots","Home","8",348297,"La Liga"
"Shots","Away","10",348297,"La Liga"
"Goals","Home","1",348297,"La Liga"
"Goals","Away","0",348297,"La Liga"
"Posession","Home","36%",348288,"La Liga"
"Posession","Away","64%",348288,"La Liga"
"Shots","Home","14",348288,"La Liga"
"Shots","Away","11",348288,"La Liga"
"Goals","Home","2",348288,"La Liga"
"Goals","Away","2",348288,"La Liga"
"Posession","Home","45%",348279,"La Liga"
"Posession","Away","55%",348279,"La Liga"
"Shots","Home","8",348279,"La Liga"
"Shots","Away","12",348279,"La Liga"
"Goals","Home","2",348279,"La Liga"
"Goals","Away","0",348279,"La Liga"
"Posession","Home","49%",348265,"La Liga"
"Posession","Away","51%",348265,"La Liga"
"Shots","Home","8",348265,"La Liga"
"Shots","Away","12",348265,"La Liga"
"Goals","Home","0",348265,"La Liga"
"Goals","Away","0",348265,"La Liga"
"Posession","Home","64%",348261,"La Liga"
"Posession","Away","36%",348261,"La Liga"
"Shots","Home","17",348261,"La Liga"
"Shots","Away","9",348261,"La Liga"
"Goals","Home","4",348261,"La Liga"
"Goals","Away","0",348261,"La Liga"
"Posession","Home","34%",348249,"La Liga"
"Posession","Away","66%",348249,"La Liga"
"Shots","Home","12",348249,"La Liga"
"Shots","Away","16",348249,"La Liga"
"Goals","Home","1",348249,"La Liga"
"Goals","Away","1",348249,"La Liga"
"Posession","Home","62%",348243,"La Liga"
"Posession","Away","38%",348243,"La Liga"
"Shots","Home","12",348243,"La Liga"
"Shots","Away","7",348243,"La Liga"
"Goals","Home","3",348243,"La Liga"
"Goals","Away","2",348243,"La Liga"
"Posession","Home","35%",348226,"La Liga"
"Posession","Away","65%",348226,"La Liga"
"Shots","Home","12",348226,"La Liga"
"Shots","Away","11",348226,"La Liga"
"Goals","Home","0",348226,"La Liga"
"Goals","Away","3",348226,"La Liga"
"Posession","Home","59%",348225,"La Liga"
"Posession","Away","41%",348225,"La Liga"
"Shots","Home","16",348225,"La Liga"
"Shots","Away","10",348225,"La Liga"
"Goals","Home","2",348225,"La Liga"
"Goals","Away","1",348225,"La Liga"
"Posession","Home","53%",348213,"La Liga"
"Posession","Away","47%",348213,"La Liga"
"Shots","Home","13",348213,"La Liga"
"Shots","Away","11",348213,"La Liga"
"Goals","Home","3",348213,"La Liga"
"Goals","Away","2",348213,"La Liga"
"Posession","Home","32%",348205,"La Liga"
"Posession","Away","68%",348205,"La Liga"
"Shots","Home","16",348205,"La Liga"
"Shots","Away","7",348205,"La Liga"
"Goals","Home","3",348205,"La Liga"
"Goals","Away","0",348205,"La Liga"
"Posession","Home","39%",348196,"La Liga"
"Posession","Away","61%",348196,"La Liga"
"Shots","Home","11",348196,"La Liga"
"Shots","Away","16",348196,"La Liga"
"Goals","Home","0",348196,"La Liga"
"Goals","Away","0",348196,"La Liga"
"Posession","Home","34%",348181,"La Liga"
"Posession","Away","66%",348181,"La Liga"
"Shots","Home","14",348181,"La Liga"
"Shots","Away","10",348181,"La Liga"
"Goals","Home","1",348181,"La Liga"
"Goals","Away","2",348181,"La Liga"
"Posession","Home","43%",348179,"La Liga"
"Posession","Away","57%",348179,"La Liga"
"Shots","Home","13",348179,"La Liga"
"Shots","Away","16",348179,"La Liga"
"Goals","Home","4",348179,"La Liga"
"Goals","Away","0",348179,"La Liga"
"Posession","Home","53%",348164,"La Liga"
"Posession","Away","47%",348164,"La Liga"
"Shots","Home","16",348164,"La Liga"
"Shots","Away","16",348164,"La Liga"
"Goals","Home","1",348164,"La Liga"
"Goals","Away","3",348164,"La Liga"
"Posession","Home","44%",324012,"La Liga"
"Posession","Away","56%",324012,"La Liga"
"Shots","Home","11",324012,"La Liga"
"Shots","Away","9",324012,"La Liga"
"Goals","Home","1",324012,"La Liga"
"Goals","Away","0",324012,"La Liga"
"Posession","Home","60%",324008,"La Liga"
"Posession","Away","40%",324008,"La Liga"
"Shots","Home","24",324008,"La Liga"
"Shots","Away","9",324008,"La Liga"
"Goals","Home","1",324008,"La Liga"
"Goals","Away","0",324008,"La Liga"
"Posession","Home","45%",323995,"La Liga"
"Posession","Away","55%",323995,"La Liga"
"Shots","Home","6",323995,"La Liga"
"Shots","Away","8",323995,"La Liga"
"Goals","Home","0",323995,"La Liga"
"Goals","Away","1",323995,"La Liga"
"Posession","Home","53%",323989,"La Liga"
"Posession","Away","47%",323989,"La Liga"
"Shots","Home","13",323989,"La Liga"
"Shots","Away","9",323989,"La Liga"
"Goals","Home","2",323989,"La Liga"
"Goals","Away","0",323989,"La Liga"
"Posession","Home","45%",323982,"La Liga"
"Posession","Away","55%",323982,"La Liga"
"Shots","Home","16",323982,"La Liga"
"Shots","Away","16",323982,"La Liga"
"Goals","Home","2",323982,"La Liga"
"Goals","Away","1",323982,"La Liga"
"Posession","Home","59%",323971,"La Liga"
"Posession","Away","41%",323971,"La Liga"
"Shots","Home","10",323971,"La Liga"
"Shots","Away","14",323971,"La Liga"
"Goals","Home","2",323971,"La Liga"
"Goals","Away","2",323971,"La Liga"
"Posession","Home","40%",323965,"La Liga"
"Posession","Away","60%",323965,"La Liga"
"Shots","Home","11",323965,"La Liga"
"Shots","Away","10",323965,"La Liga"
"Goals","Home","1",323965,"La Liga"
"Goals","Away","1",323965,"La Liga"
"Posession","Home","67%",323953,"La Liga"
"Posession","Away","33%",323953,"La Liga"
